Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"384_2021","Côte d'Ivoire - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","25.000000","E"
"384_2021","Côte d'Ivoire - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","28.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","23.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","20.200000","E"
"384_2021","Côte d'Ivoire - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","13.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","24.700000","E"
"384_2021","Côte d'Ivoire - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","85.800000","E"
"384_2021","Côte d'Ivoire - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","82.400000","E"
"384_2021","Côte d'Ivoire - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","88.000000","E"
"384_2021","Côte d'Ivoire - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","22.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","12.000000","E"
"384_2021","Côte d'Ivoire - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","28.600000","E"
"384_2021","Côte d'Ivoire - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","26.600000","E"
"384_2021","Côte d'Ivoire - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","25.400000","E"
"384_2021","Côte d'Ivoire - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","27.300000","E"
"384_2021","Côte d'Ivoire - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","16.400000","E"
"384_2021","Côte d'Ivoire - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","11.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","19.800000","E"
